34200.003551919,1,206800000,200,220011,-1
34200.010888335,2,206800000,50,220011,-1
34200.045586871,4,206800000,150,220011,1
34200.073164573,1,206800001,500,219983,-2
34200.115935991,1,206800002,300,219978,-2
34200.141470586,1,206800003,500,220012,-1
34200.150682228,3,206800002,300,219978,-2
34200.191250283,4,206800003,250,220012,1
34200.197579654,4,206800003,250,220012,1
34200.221908064,3,206800001,500,219983,-2
34200.270993485,1,206800004,100,219962,-2
34200.298596004,1,206800005,200,220021,-1
34200.347045406,4,206800004,100,219962,2
34200.373360564,2,206800005,100,220021,-1
34200.376954976,1,206800006,500,219969,-2
34200.408156976,3,206800006,500,219969,-2
34200.416880867,1,206800007,500,220043,-1
34200.445405169,4,206800007,250,220043,1
34200.462662052,1,206800008,500,219967,-2
34200.504614386,1,206800009,200,219978,-2
34200.528696540,2,206800007,100,220043,-1
34200.569624425,1,206800010,500,219963,-2
34200.619180261,1,206800011,100,220039,-1
34200.636430395,3,206800005,100,220021,-1
34200.637574444,1,206800012,300,219974,-2
34200.661887411,1,206800013,100,219991,-2
34200.685818924,1,206800014,100,220039,-1
34200.710270038,3,206800013,100,219991,-2
34200.747520566,1,206800015,200,220013,-1
34200.763942413,1,206800016,500,220031,-1
34200.774208014,1,206800017,300,220017,-1
34200.795263473,4,206800008,500,219967,2
34200.823330325,1,206800018,300,220038,-1
34200.863790878,1,206800019,300,219965,-2
34200.873696888,1,206800020,100,220030,-1
34200.914357303,1,206800021,200,220039,-1
34200.955361769,4,206800021,200,220039,1
34200.968015262,4,206800007,150,220043,1
34201.012418834,1,206800022,200,219969,-2
34201.050949916,3,206800011,100,220039,-1
34201.094975996,1,206800023,100,220031,-1
34201.102406221,1,206800024,100,220022,-1
34201.103812532,4,206800015,200,220013,1
34201.119472800,4,206800018,300,220038,1
34201.146667478,3,206800024,100,220022,-1
34201.183300685,4,206800010,250,219963,2
34201.193682358,1,206800025,500,220035,-1
34201.240002210,1,206800026,300,220016,-1
34201.268298853,1,206800027,100,219971,-2
34201.302280596,1,206800028,200,219974,-2
34201.333128584,3,206800010,250,219963,-2
34201.365806474,1,206800029,200,220025,-1
34201.383569373,1,206800030,100,220042,-1
34201.387703423,1,206800031,500,220026,-1
34201.436188389,1,206800032,100,220027,-1
34201.473785077,1,206800033,300,220041,-1
34201.482098329,3,206800030,100,220042,-1
34201.526635150,4,206800019,300,219965,2
34201.542733511,1,206800034,200,220025,-1
34201.552889126,1,206800035,200,220026,-1
34201.554414570,4,206800023,100,220031,1
34201.578703597,2,206800034,50,220025,-1
34201.626616586,1,206800036,200,220024,-1
34201.661547378,1,206800037,300,220037,-1
34201.693878570,1,206800038,100,219981,-2
34201.742034783,4,206800038,100,219981,2
34201.766396233,3,206800020,100,220030,-1
34201.774449920,1,206800039,100,219965,-2
34201.795002174,1,206800040,300,219980,-2
34201.824582857,2,206800016,50,220031,-1
34201.838505712,4,206800039,100,219965,2
34201.856483612,3,206800031,500,220026,-1
34201.862590538,1,206800041,100,220019,-1
34201.871595922,1,206800042,300,220037,-1
34201.901983998,3,206800017,300,220017,-1
34201.908153317,1,206800043,200,219966,-2
34201.956810991,1,206800044,200,219985,-2
